NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Typical Weekday,4:30 AM,12:40 AM,,,,119,"22,360","20,435","1,925","20,438","1,575","1,484",91,,,,,,,,,"17,273",,,"73,927",255,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Weekday - AM Peak,4:30 AM,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Weekday - Midday,9:00 AM,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Weekday - PM Peak,6:00 PM,12:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Annual Total,,,65,96,,,"636,288","636,288",0,,"21,704","21,704",0,,,,,,,,,"70,298",,,"1,847,203",,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Typical Saturday,5:26 AM,11:24 PM,,,,5,261,261,0,,8,8,0,,,,,,,,,22,,,511,51,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Typical Sunday,5:53 AM,11:35 PM,,,,5,245,245,0,,8,8,0,,,,,,,,,24,,,520,59,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Typical Weekday,4:31 AM,11:32 PM,,,,42,"2,386","2,386",0,,82,82,0,,,,,,,,,266,,,"7,022",255,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Annual Total,,,14,23,,,"217,535","191,376","26,159",,"14,760","13,115","1,645",,,,,,,,,"24,351","24,351",,"183,647",,,,,,,
